W,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC. REQUIRE,,,,,,,,,,,
"MASTER
ITEM#",,MEAT,SEAFOOD,PRODUCE,GROCERY,BAKERY,HOT DELI,WAREHOUSE,GENERAL MARKET,SUBTENANTS,"MEAT
ITEM #","SEAFOOD
ITEM #","PRODUCE
ITEM #","GROCERY
ITEM #","BAKERY
ITEM #","HOT DELI
ITEM #","WAREHOUSE
ITEM #","GENERAL MARKET
ITEM #","SUBTENANTS
ITEM #",EQUIPMENT DESCRIPTION,SPEC. LINK,MANUFACTURER,MODEL,SUPPLY BY,INSTALL BY,ELECTRICAL,,,DATA/PHONE,PLUMBING - WATER,,,PLUMBING - GAS,,,FLOOR SINK,REMARKS
,,,,,,,,,,,,,,,,,,,,,,,,,,POWER,HEIGHT,NEMA,,COLD,HOT,ELEVATION,PIPE SIZE,BTU,ELEVATION,,
29,,,,,,,,,x,,,,,,,,,GM#09,,CUSTOMER SERVICE COUNTER,,CUSTOM,CUSTOM,G.C.,G.C.,4X120-20A,VERIFY,5-15R,,,,,,,,,
30,A,,,,,,,,,,TBD,,,,,,,,,TRASH RECEPTACLE - CUSTOM,,CUSTOM,CUSTOM,G.C.,G.C.,,,,,,,,,,,,
30,B,,,,,,,,,,TBD,,,,,,,,,TRASH RECEPTACLE - SINGLE COMPARTMENT,,BUSCH SYSTEMS,COURTSIDE SERIES,OWNER,OWNER,,,,,,,,,,,,
30,C,,,,,,,,,,TBD,,,,,,,,,TRASH RECEPTACLE - DOUBLE COMPARTMENT,,BUSCH SYSTEMS,COURTSIDE SERIES,OWNER,OWNER,,,,,,,,,,,,
31,,,,,,x,,,,,,,,,BK#03,,,,,BAKERY CASHIER COUNTER,,CUSTOM,CUSTOM,G.C.,G.C.,2X120-20A,VERIFY,5-15R,YES,,,,,,,,
32,,,,,,x,,,,,,,,,BK#04,,,,,BAKERY BACK COUNTER,,CUSTOM,CUSTOM,OWNER,OWNER,,,,,,,,,,,,
33,,,,,,x,,,,,,,,,BK#05,,,,,BAKERY BREAD ISLAND DISPLAY/ 8 PLAN 2 LEVEL BAKERY DISPLAY,O,CUSTOM,"52.5"" x 44"" x 58""",OWNER,OWNER,120-20A,FLOOR OUTLET,5-15R,,,,,,,,,
34,,,,,,x,,,,,,,,,BK#06,,,,,BAKERY BREAD TOAST RACK,O,CUSTOM,CUSTOM,OWNER,OWNER,120-20A,STANDARD,5-15R,,,,,,,,,
35,,,,,,x,,,,,,,,,BK#07,,,,,CONDIMENT COUNTER - CUSTOM,,CUSTOM,CUSTOM,G.C.,G.C.,,,,,,,,,,,,
36,,,,,,,,,,,TBD,,,,,,,,,BAKED GOODS WARMER,,HATCO,FLAV--R-FRESH FDWD-2X,OWNER,G.C.,120V,VERIFY,5-15P,,,,,,,,,
37,,,,,,,,,,,TBD,,,,,,,,,STEAMED BUNS WARMER,,ANTUNES,SDC-500,OWNER,G.C.,120V,VERIFY,5-15P,,,,,,,,,
38,,,,,,,,,,,TBD,,,,,,,,,BENTO WARMER,,HATCO,GR2SDH-36D,OWNER,G.C.,,VERIFY,L14-20P,,,,,,,,,
