W,,,,,,,,,,,,,,,,,,,,,,,,,,SPEC. REQUIRE,,,,,,,,,,,
"MASTER
ITEM#",,MEAT,SEAFOOD,PRODUCE,GROCERY,BAKERY,HOT DELI,WAREHOUSE,GENERAL MARKET,SUBTENANTS,"MEAT
ITEM #","SEAFOOD
ITEM #","PRODUCE
ITEM #","GROCERY
ITEM #","BAKERY
ITEM #","HOT DELI
ITEM #","WAREHOUSE
ITEM #","GENERAL MARKET
ITEM #","SUBTENANTS
ITEM #",EQUIPMENT DESCRIPTION,SPEC. LINK,MANUFACTURER,MODEL,SUPPLY BY,INSTALL BY,ELECTRICAL,,,DATA/PHONE,PLUMBING - WATER,,,PLUMBING - GAS,,,FLOOR SINK,REMARKS
,,,,,,,,,,,,,,,,,,,,,,,,,,POWER,HEIGHT,NEMA,,COLD,HOT,ELEVATION,PIPE SIZE,BTU,ELEVATION,,
101,,x,x,x,,x,x,,,,MT#12,SF#19,PD#09,,BK#24,HD#16,,,,GOLD BOND WIRE SHELVE - 18Dx48Wx74H,,ISS,P74NY,OWNER,G.C.,,,,,,,,,,,,
102,,,,,,,,,x,,,,,,,,,GM#15,,TROUGH SINK SOAP DISPENSER,,SLOAN,ESD-1500-CP,P.C.,P.C.,,,,,,,,,,,,
103,,x,x,x,x,,,,,,MT#13,SF#20,PD#10,GR#13,,,,,,DUNNAGE RACK,,MASONWAYS,482212HD,OWNER,OWNER,,,,,,,,,,,,
104,,,,,,,,x,,,,,,,,,WH#15,,,LOCKER,,GSW,VARIES,OWNER,G.C.,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,WAREHOUSE PALLET RACKS,,,,OWNER,G.C.,,,,,,,,,,,,
106,,x,x,x,,x,x,,,,MT#14,SF#21,PD#11,,BK#25,HD#17,,,,SS WALL SHELF,,GENERAL EQUIP.,"16""D / 18GA",OWNER,G.C.,,,,,,,,,,,,
107,,,,,,,,x,,,,,,,,,WH#16,,,MOP RACK,,ADVANCE TABCO,K242,GC,G.C.,,,,,,,,,,,,
108,,x,x,x,,x,x,,,,MT#15,SF#22,PD#12,,BK#26,HD#18,,,,S.S. TOP WORK TABLE,,EAGLE GROUP,T3060SB,OWNER,G.C.,,,,,,,,,,,,
109,,x,,,,,,,,,MT#16,,,,,,,,,SS POLY TOP WORK TABLE,,EAGLE GROUP,CT3060S,OWNER,OWNER,,,,,,,,,,,,
110,,x,x,x,,,,,,,MT#17,SF#23,PD#13,,,,,,,HAND WRAP STATION,,SCALEMATE,SM-1,OWNER,OWNER,115V-6.5A,"48"" AFF",,,,,,,,,,
111,,,x,,,,,,,,,SF#24,,,,,,,,EQUIPMENT STAND,,EAGLE GROUP,MS3024,OWNER,G.C.,,,,,,,,,,,,
112,,x,x,,,,,,,,MT#18,SF#25,,,,,,,,ADA COUNTER,,CUSTOM,CUSTOM SIZE,OWNER,G.C.,,,,,,,,,,,,
113,,x,,,,,,,,,MT#19,,,,,,,,,MEAT SAW,,HOBART,6801,OWNER,G.C.,208-20A-3P,"48"" AFF",L15-20R/ L15-20P*,,,,,,,,,
114,,x,,,,,,,,,MT#20,,,,,,,,,MEAT GRINDER,,HOBART,4146,OWNER,G.C.,208-30A-3P,"48"" AFF",L15-30R/L15-30P*,,,,,,,,,
115,A,x,,,,,,,,,MT#21,,,,,,,,,MEAT SLICER - TABLETOP,,BIZERBA,GSP-HD,OWNER,OWNER,230V-20A,"48"" AFF",5-15R,,,,,,,,,
115,B,x,,,,,,,,,MT#22,,,,,,,,,MEAT SLICER - TABLETOP,,HOBART,HS7N,OWNER,OWNER,120-20A,"48"" AFF",5-15R,,,,,,,,,
116,,,,,,,,,,,TBD,,,,,,,,,MEAT TENDERIZER,,BIRO,PRO-9,OWNER,OWNER,120-20A,"48"" AFF",5-15R,,,,,,,,,
117,,,,,,,,,,,TBD,,,,,,,,,AUTOMATIC MEAT SLICER,,BIRO,109PC,OWNER,OWNER,208-20A-3P,"48"" AFF",L15-20R/ L15-20P*,,,,,,,,,
118,,,x,,,,,,,,,SF#26,,,,,,,,SEAFOOD STEAMER W/ STAND,,GROEN,SSB-5G,OWNER,P.C. & E.C.,120VAC-60HZ-15AMP,"46"" AFF",2X,,CW 2 3/4”,,"38""H","1/2""","100,000","44"" A.F.F.",YES,"1 1/2"" DRAIN"
119,A,,x,,,,,,,,,SF#27,,,,,,,,SELF-CONTAINED BI-LEVEL SEAFOOD TANK - 5FT,,SW WILSON,"BI-LEVEL 60""X42""",OWNER,G.C./E.C./R.C.,2X120-20A,24” OC,J-BOX*,,,,,,,,YES,
119,B,,x,,,,,,,,,SF#28,,,,,,,,SELF-CONTAINED BI-LEVEL SEAFOOD TANK - 4FT,,SW WILSON,"BI-LEVEL 48""X30""",OWNER,G.C./E.C.,110V-30A,24” OC,J-BOX*,,,,,,,,YES,
120,,,x,,,,,,,,,SF#29,,,,,,,,SELF-CONTAINED SEAFOOD TANK - 4FT,,SW WILSON,48X40,OWNER,OWNER/G.C./E.C.,120V-30A,24” OC,5-20R,,,,,,,,YES,
121,,,x,,,,,,,,,SF#30,,,,,,,,SCALE STAND,,CUSTOM,CUSTOM,OWNER,OWNER,,,,,,,,,,,,
122,L,,x,,,,,,,,,SF#31,,,,,,,,FISH CUTTING TABLE LEFT DRAIN,,CUSTOM,96X36,OWNER,P.C,,,,,CW 1/2”,,24” OC,,,,YES,
122,R,,x,,,,,,,,,SF#32,,,,,,,,FISH CUTTING TABLE RIGHT DRAIN,,CUSTOM,96X36,OWNER,P.C,,,,,CW 1/2”,,24” OC,,,,YES,
123,,,,,,,x,,,,,,,,,HD#19,,,,ICE CADDY,,CAMBRO,ICS125L,OWNER,OWNER,,,,,,,,,,,,
124,,,x,,,,,,,,,SF#33,,,,,,,,SEAFOOD ICE DISPLAY,,CUSTOM,CUSTOM,OWNER,G.C.,,,,,,,,,,,YES,
125,,,x,,,,x,,,x,,SF#34,,,,HD#20,,,ST#01,TYPE I EXHAUST HOOD,,CAPTIVEAIR,WALL-ND2,M.C,M.C.&.E.C.,SEE M&E PLAN,,,,,,,,,,,
126,,,,,,x,,,,,,,,,BK#27,,,,,TYPE II EXHAUST HOOD,,CAPTIVEAIR,WALL-VHB,M.C,M.C.& E.C.,SEE M&E PLAN,,,,,,,,,,,
127,A,,,,,,,,,,TBD,,,,,,,,,ONE BURNER CHINESE WOK RANGE,,IMPERIAL,ICRA-1,OWNER,P.C,,,,,CW 1-1/2”,,12” OC-RH,1-1/2”,"160,000",,YES,8” OC
128,A,,,,,,,,,,TBD,,,,,,,,,BBQ OVEN,,GENERAL,GNR4848,OWNER,P.C.,,,,,,,,1”,"240,000",,,"11""H"
128,B,,,,,,x,,,,,,,,,HD#21,,,,BBQ OVEN,,RATIONAL,COMBIMASTER PLUS 202G,OWNER,P.C,240V/1,,6-15P,,"1/2""",,,,,,,
129,,,,,,,x,,,,,,,,,HD#22,,,,DOUBLE STOCK POT RANGE,,AMERICAN RANGE,ARSP-J-2,OWNER,P.C,,,,,,,,3/4”,"250,000",,,"16"""
130,A,,x,,,,x,,,,,SF#35,,,,HD#23A,,,,DEEP FRYER,,PITCO,SG18,OWNER,P.C,,,,,,,,3/4”,"140,000",,,"16"""
131,B,,,,,,,,,,,,,,,HD#23B,,,,DEEP FRYER,O,COOKRITE,ATFS-50,OWNER,G.C.,,,,,,,,,,,,
131,A,,,,,,,,,,,,,,,HD#24A,,,,TWO BURNER CHINESE WOK RANGE,,IMPERIAL,ICRA-2,OWNER,P.C,,,,,CW 1-1/2”,,12” OC-RH,1-1/2”,"320,000",,YES,8” OC
131,B,,,,,,x,,,,,,,,,HD#24B,,,,TWO BURNER CHINESE WOK RANGE,,CUSTOM,2-BURNER,OWNER,P.C,,,,,CW 1/2”,,"12""H",1-1/2”,,,YES,"11""H"
132,A,,,,,,,,,,,,,,,HD#25A,,,,THREE BURNER CHINESE WOK RANGE,,IMPERIAL,ICRA-3,OWNER,P.C,,,,,CW 1-1/2”,,12” OC-RH,1-1/2”,"480,000",,YES,8” OC
132,B,,,,,,x,,,,,,,,,HD#25B,,,,THREE BURNER CHINESE WOK RANGE,,CUSTOM,3-BURNER,OWNER,P.C.,,,,,CW 1/2”,,"12""H",1-1/2”,,,YES,"11""H"
133,A,,,,,,,,,,,,,,,HD#26A,,,,FOUR BURNER CHINESE WOK RANGE,,IMPERIAL,ICRA-4,OWNER,P.C,,,,,CW 1-1/2”,,12” OC-RH,1-1/2”,"640,000",,YES,8” OC
133,B,,,,,,x,,,,,,,,,HD#26B,,,,FOUR BURNER CHINESE WOK RANGE - CUSTOM,,CUSTOM,4-BURNER,OWNER,P.C.,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,HD#46,,,,EIGHT BURNER CHINESE WOK RANGE,,IMPERIAL,ICRA-8,OWNER,P.C,,,,,CW 1-1/2”,,12” OC-RH,1-1/2”,"960,000",,YES,8” OC
135,A,,,,,,x,,,,,,,,,HD#27,,,,24” GRIDDLE,,IMPERIAL,IMGA-2428,OWNER,P.C,,,,,,,,3/4”,"60,000",,,"16""H"
135,B,,,,,,x,,,,,,,,,HD#28,,,,24” GRIDDLE,,WELLS,HDG-2430G,OWNER,P.C,,,,,,,,3/4”,"60,000",,,"16""H"
136,,,,,,,,,,,TBD,,,,,,,,,4-BURNER RANGE,,WELLS,HDHP2430G,OWNER,P.C.,,,,,,,,"3/4""",,,,
137,,,,,,,x,,,,,,,,,HD#29,,,,GAS RICE COOKER,,RINNAI,PER-55AS,OWNER,P.C.& E.C.,,,,,,,,1/2”,"35,000",,,"24""H"
138,,,,,,,x,,,,,,,,,HD#30,,,,MODULAR FOOD WARMER W/ OVERHEAD HEAT LAMPS,,WELLS,300D-400D-500D,OWNER,P.C.& E.C.,208-30A-3P,20” OC,L15-30R/ L15-30P*,,,HW-1/2”,"16""H",,,,,
139,,,,,,,x,,,,,,,,,HD#31,,,,BBQ DISPLAY CASE - 3PAN,,CUSTOM,CUSTOM,OWNER,P.C,"3X(120-20A)
208-30A-3P3X(120-20A)
208-30A-3P3X(120-20A)
208-30A-3P3X(120-20A)
208-30A-3P",20” OC,"5-15R
L15-30R/L15-30P*          5-15R
L15-30R/L15-30P*          5-15R
L15-30R/L15-30P*          5-15R
L15-30R/L15-30P*          ",,,HW-1/2”,"16""H",,,,YES,
140,,,,,,,x,,,,,,,,,HD#32,,,,CHOPPING TABLE FOR BBQ,,CUSTOM,30X42,OWNER,G.C.,120-20A,"48"" AFF",5-15R,,,,,,,,,
141,A,,,,,x,,,,,,,,,BK#28,,,,,HEATED DISPLAY CASE - DUAL SHELF / 3PAN,,HATCO,GRHD-3PD,OWNER,G.C.,120/1P,,5-20P,,,,,,,,,
142,,,,,,,x,,,,,,,,,HD#33,,,,RICE WAMER,,ZOJIRUSHI,THA-603,OWNER,OWNER,120-20A,20” OC,5-15R,,,,,,,,,
143,,,,,,x,,x,,,,,,,BK#29,,WH#17,,,MICROWAVE OVEN,,AMANA,RCS10DSE,OWNER,OWNER,120-20A,"48"" AFF",5-15R,,,,,,,,,
144,,,,,,x,,,,,,,,,BK#30,,,,,HOT WATER BOILER W/ FILTER,,BUNN,H5,OWNER,P.C.& E.C.,,,,,,,20” OC,,,,YES,
145,,,,,,,x,,,,,,,,,HD#34,,,,3 SIDE UPTURN EQUIPMENT STAND,,GSW,ES-ALLSS-24,OWNER,G.C.,,,,,,,,,,,,
146,,,,,,x,,,,,,,,,BK#31,,,,,BAKERY DECK OVEN - 2PAN/3DECK (W/ WATER FILTER),,ABS,283,OWNER,P.C.& E.C.,208/220V/60/3P W/ NEUTRAL,"100""H",,,"CW 1/2""",,"100""H",,,,,
147,,,,,,x,,,,,,,,,BK#32,,,,,SINGLE RETARDER PROOFER,,BAXTER,RPW1S,OWNER,P.C.& E.C.,208-30A-1P-3WIRE,104” OC,DIRECT CONNECT,,CW 1/2”,,104” OC,,,,YES,
148,,,,,,x,,,,,,,,,BK#33,,,,,BREAD SLICER,,OLIVER,797,OWNER,E.C.,120-20A,CEILING DROP*,5-20R,,,,,,,,,
149,,,,,,x,,,,,,,,,BK#34,,,,,20 Q MIXER,,HOBART,HL200,OWNER,E.C.,,"48"" AFF",,,,,,,,,,
150,,,,,,x,,,,,,,,,BK#35,,,,,20 Q MIXER,,GLOBE,SP20,OWNER,E.C.,115/60/1,"48"" AFF",,,,,,,,,,
151,,,,,,,x,,,,,,,,,HD#35,,,,30 Q MIXER,,HOBART,HL300,OWNER,E.C.,120-20A,"48"" AFF",5-20R,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,ISLAND HOT FOOD MERCHANDISER DOUBLE TIER 3X6,,R&D FIXTURES,IS-HT-MR-DT-3X6,OWNER,G.C. & E.C.,120/208V/60HZ/1PH,,,,,,,,,,,
153,,,,,,x,x,,,,,,,,BK#36,HD#36,,,,PREMIX DISPENSERS,,CRATHCO,D25,OWNER,P.C.& E.C.,120-20A,"48"" AFF",5-15R,,CW 1/2”,,24” OC,,,,,
154,A,,,,,x,,,,,,,,,BK#37,,,,,COFFEE GRINDER,,BUNN,33700,OWNER,OWNER,120-20A,"48"" AFF",5-15P,,,,,,,,,
154,B,,,,,x,,,,,,,,,BK#38,,,,,COFFEE BREWER W/ WATER FILTER,,BUNN,27800.0009,OWNER,OWNER,120-20A,"48"" AFF",5-15R,,CW 1/2”,,24” OC,,,,YES,
155,,,,,,x,x,,,,,,,,BK#39,HD#37,,,,CUP SEALER,,SEALING MACHINE,ET99,OWNER,OWNER,120-20A,48” AFF,5-15R,,,,,,,,,
156,,,,,,,,,,,,,,,,HD#38,,,,GRIDDLE/BURNER COMBO,O,AMERICAN RANGE,AR24G-2B,OWNER,R.C.,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,HD#39,,,,COOKING ROBOT,O,NEXT ROBOT,MAX5.0,OWNER,R.C.,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,HD#40,,,,SANDWICH PREP TABLE,O,ATOSUSA,MSF8303GR,OWNER,G.C.,,,,,,,,,,,,
159,A,,,,,,,,,,,,,,,HD#41,,,,COMBI-STEAMER/ COMBI-OVEN,O,RATIONAL,iCOMBI CLASSIC 20-FULL SIZE E/G,OWNER,G.C.,,,,,,,,,,,,
159,B,,,,,,,,,,,,,,,HD#45,,,,COMBI-OVEN,O,CONVOTHERM,C4eT 20.20 GB-N,OWNER,GC,,,,,,,,,,,,
160,,,,,,,,,,,TBD,,,,,,,,,CNC 1DR REFRIGERATOR,,ATOSA,MBF8505GR,OWNER,G.C.,115/60/1,,5-15P,,,,,,,,,
161,,,,,,,,,,,TBD,,,,,,,,,CNC 1DR FREEZER,,ATOSA,MBF8501GR,OWNER,G.C.,115/60/1,,5-15P,,,,,,,,,
162,,,,,,,,,,,TBD,,,,,,,,,CNC 2DR REFRIGERATOR,,ATOSA,MBF8507GR,OWNER,G.C.,115/60/1,,5-15P,,,,,,,,,
163,,,,,,,,,,,TBD,,,,,,,,,CNC 2DR FREEZER,,ATOSA,MBF8503GR,OWNER,G.C.,115/60/1,,5-15P,,,,,,,,,
164,,,,,,,,,,,,,,,,HD#42,,,,FRONZEN FOOD: MULTI-DECK DELI MERCHANDISERS,O,HILL PHOENIX,PF-54-SC,OWNER,G.C.,,,,,,,,,,,,
165,A,,,,,,,,,,,,,,,HD#43A,,,,CHICKEM WARMER,O,FRANESSE DP,LFG-3668-2T-C,OWNER,G.C.,,,,,,,,,,,,
165,B,,,,,,,,,,,,,,,HD#43B,,,,CHICKEM WARMER,O,ATLEQUIPMENT,99R-MS3678-SG,OWNER,G.C.,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,HD#44,,,,FOOD WARMER,O,INTERTEK,99-MS5092-SGO,OWNER,R.C.,,,,,,,,,,,,
167,,,,,,,,,,,,,,,BK#40,,,,,ELECTRIC MINI ROTATING RACK BAKERY OVEN,O,BLODGETT,XR8-E,OWNER,G.C.,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,HD#47,,,,PASTA/NOODLE COOKERS,O,EMPURA EQUIPMENT,#E-PC11_NAT,OWNER,G.C.,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,HD#48,,,,ICE MAKER,O,ICE-O-MATIC,ICEU225,OWNER,G.C.,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,HD#49,,,,"60""W REFRIGERATED SANDWICH TABLE",O,TRUE,TWT-60,OWNER,G.C.,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,HD#50,,,,"72"" PREP TABLE",O,TRUE,TSSU-72-16-HC,OWNER,G.C.,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,HD#51,,,,WATER HEATER,O,BUNN,H5X,OWNER,G.C.,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,HD#52,,,,"60""Wx30""D STAINLESS STEEL WORK TABLE",O,TRUE,TMT-60-HC,OWNER,G.C.,,,,,CW: COLD WATER,,RH: RIGHT HAND,,,,,
174,,,,,,,,,,,,,,,,HD#53,,,,8FT REFRIGERATED DISPLAY CASE,O,HILL PHOENIX,BLF-R,OWNER,G.C.,,,,,HW: HOT WATER,,,,,,,
175,,,,,,,,,,,,,,,,HD#54,,,,DOUBLE STOCK POT STOVES,O,COOKRITE,ATSP-18-2L,OWNER,G.C.,,,,,OC: ON CENTER,,,,,,,
176,,,,,,,,,,,,,,,BK#41,,,,,"BAKERY DISPLAY WITH THREE SHELVES, GLASS SERVICE SLIDING DOORS WITH ONE SERVICE MODULE",O,川島屋,1910 x 860 x 1450 (mm),OWNER,G.C.,,,,,,,,,,,,
177,,,,,,,,,,,TBD,,,,,,,,,DELI/DAIRY MERCHANDIZER OWNER SEE REFRIG.,,HILL PHOENIX,I2I,OWNER,R.C./E.C.,SEE R. DWGS,VERIFY,VERIFY,,,,,,,,,
178,,,,,,,,,,,,,,,BK#42,,,,,BAKERY BEVERAGE COUNTER,,ACE,CUSTOM,G.C.,G.C.,,,,,,,,,,,,
179,,,,,,,,,,,,,,,BK#43,HD#TBD,,,,S.S. SNEEZE GUARD W/ GLASS,,GENERAL EQUIP.,CUSTOM,G.C.,G.C.,,,,,,,,,,,,
,,,,,,,,,,,,,,,BK#44,,,,,6' NARROW SELF-CONTAINED SINGLE-DECK MERCHANDISER,O,ONIZVA,R-290,OWNER,G.C.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,HD#55,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,S.S. COUNER,,GENERAL EQUIP.,CUSTOM,OWNER,G.C.,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"** If 208 VAC need 60A, If 480 VAC need 30A",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,G.C.: GENERAL CONTRACTOR,,E.C.: ELECTRICAL CONTRACTOR,,* Electrical Contractor provide cord and plug,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,P.C.: PLUMBING CONTRACTOR,,M.C.: MECHANICAL CONTRACTOR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,R.C.: REFRIGERATION CONTRACTOR,,,,,,,,,,,,,,,,,
